Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_228x64.png,228x64.png,https://ae01.alicdn.com/kf/Saa94d6f7f18e4bf5ad94bb3ddb0a7870A/228x64.png,7.4150390625,2.9300291545189507,0.0042673107890499,0.9651162790697676,4.486328125,3.0478515625,1.0,90,1.0,0.9693835898588176,5.0
reduced_10x10.png,10x10.png,https://ae01.alicdn.com/kf/S9b85a05a759e4e04bb44b5fa26fbd637g/10x10.png,0.0927734375,1.0,0.0,1.0,0.27734375,0.0927734375,1.0,100,1.0,1.0,5.0
reduced_S9e36789fbfbd4b9f926146cbcaa291ac1.jpg_100x100Q90.jpg_.webp,S9e36789fbfbd4b9f926146cbcaa291ac1.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/S9e36789fbfbd4b9f926146cbcaa291ac1.jpg_100x100Q90.jpg_.webp,4.0537109375,1.0,0.0,1.0,0.705078125,4.0537109375,1.0,100,0.9033790746992353,1.0,5.0
reduced_S719593b232994ac08c3ded6a97071acfW.png_100x100.png_.webp,S719593b232994ac08c3ded6a97071acfW.png_100x100.png_.webp,https://ae04.alicdn.com/kf/S719593b232994ac08c3ded6a97071acfW.png_100x100.png_.webp,6.041015625,1.0,0.0,1.0,1.041015625,6.041015625,1.0,100,0.9252282429471294,1.0,5.0
reduced_H064bc3624beb441c994d445f6a5ccef6S.jpg_100x100Q90.jpg_.webp,H064bc3624beb441c994d445f6a5ccef6S.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/H064bc3624beb441c994d445f6a5ccef6S.jpg_100x100Q90.jpg_.webp,2.2802734375,1.0,0.0,1.0,0.34765625,2.2802734375,1.0,100,0.9038461117698096,1.0,5.0
reduced_He81b0f4f03d64dcbabe99916f0acab58j.jpg_100x100Q90.jpg_.webp,He81b0f4f03d64dcbabe99916f0acab58j.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/He81b0f4f03d64dcbabe99916f0acab58j.jpg_100x100Q90.jpg_.webp,1.4013671875,1.0,0.0,1.0,0.17578125,1.4013671875,1.0,100,0.9067084124235918,1.0,5.0
reduced_S2296bc623cab40ca86a9ab4d5eadcde85.jpg_100x100Q90.jpg_.webp,S2296bc623cab40ca86a9ab4d5eadcde85.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/S2296bc623cab40ca86a9ab4d5eadcde85.jpg_100x100Q90.jpg_.webp,4.3603515625,1.0,0.0,1.0,0.82421875,4.3603515625,1.0,100,0.9131610698614934,1.0,15.0
reduced_Sb5613e8cf04c4f4a8dec34e3c418d7dfK.jpg_100x100Q90.jpg_.webp,Sb5613e8cf04c4f4a8dec34e3c418d7dfK.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/Sb5613e8cf04c4f4a8dec34e3c418d7dfK.jpg_100x100Q90.jpg_.webp,4.7021484375,1.0,0.0,1.0,0.880859375,4.7021484375,1.0,100,0.9046694772919296,1.0,10.0
reduced_S731bd597fb4a47118552f8bfff45a7772.jpg_100x100Q90.jpg_.webp,S731bd597fb4a47118552f8bfff45a7772.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/S731bd597fb4a47118552f8bfff45a7772.jpg_100x100Q90.jpg_.webp,3.150390625,1.0,0.0,1.0,0.462890625,3.150390625,1.0,100,0.9210827396582705,1.0,10.0
reduced_S051c4a4dd4ea46b880de0d342e1eb98aW.jpg_100x100Q90.jpg_.webp,S051c4a4dd4ea46b880de0d342e1eb98aW.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/S051c4a4dd4ea46b880de0d342e1eb98aW.jpg_100x100Q90.jpg_.webp,2.5166015625,1.0,0.0,1.0,0.37109375,2.5166015625,1.0,100,0.9463733114206805,1.0,5.0
reduced_S3916fe5fe1eb4998ad6ea64175a878adA.jpg_100x100Q90.jpg_.webp,S3916fe5fe1eb4998ad6ea64175a878adA.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/S3916fe5fe1eb4998ad6ea64175a878adA.jpg_100x100Q90.jpg_.webp,2.365234375,1.0,0.0,1.0,0.380859375,2.365234375,1.0,100,0.9211061343379626,1.0,10.0
reduced_S0b93ad0e1ae043af8e68bc688e35d3133.jpg_100x100Q90.jpg_.webp,S0b93ad0e1ae043af8e68bc688e35d3133.jpg_100x100Q90.jpg_.webp,https://ae04.alicdn.com/kf/S0b93ad0e1ae043af8e68bc688e35d3133.jpg_100x100Q90.jpg_.webp,3.666015625,1.0,0.0,1.0,0.556640625,3.666015625,1.0,100,0.9067163124237281,1.0,10.0
