Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,https://img.alicdn.com/tps/TB1_qAKKVXXXXXjapXXXXXXXXXX-20-20.png,1.36328125,1.0,0.0,1.0,1.4912109375,1.36328125,1.0,100,1.0,1.0,5.0
reduced_TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,https://img.alicdn.com/tps/TB1yEqRPXXXXXXPXpXXXXXXXXXX-20-20.png,1.36328125,1.046294075317822,0.0027472527472527475,1.0,1.4912109375,1.36328125,1.0,100,1.0,1.0027472527472527,5.0
reduced_TB14MWoNhjaK1RjSZFAwu2dLFXa.png,TB14MWoNhjaK1RjSZFAwu2dLFXa.png,https://img.alicdn.com/tfscom/TB14MWoNhjaK1RjSZFAwu2dLFXa.png,1.6328125,1.1338705484793346,0.07572115384615384,0.953443258971872,4.328125,0.6259765625,1.0,90,1.0,1.0291644128180257,5.0
reduced_O1CN01a69z6z1hJklCkBqOU_!!6000000004257-2-tps-174-106.png,O1CN01a69z6z1hJklCkBqOU_!!6000000004257-2-tps-174-106.png,https://img.alicdn.com/imgextra/i2/O1CN01a69z6z1hJklCkBqOU_!!6000000004257-2-tps-174-106.png,8.3076171875,65.1044776119403,0.031668956043956045,1.0,14.4873046875,8.3076171875,1.0,100,1.0,1.031668956043956,5.0
reduced_O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,https://img.alicdn.com/imgextra/i4/O1CN01rjCXEO1yXoR5lsMZO_!!6000000006589-0-tps-198-40.jpg,1.6845703125,1.010658016682113,0.0543956043956044,1.0,1.46875,1.6845703125,1.0,100,0.9464949791258891,1.0543956043956044,35.0
reduced_O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,https://img.alicdn.com/imgextra/i3/O1CN01Tr5MzE1FrMdQVXJbC_!!6000000000540-2-tps-238-40.png,15.333984375,1.010658016682113,0.06538461538461539,1.0,16.7177734375,14.3740234375,1.0,90,1.0,1.0653846153846154,5.0
reduced_O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,https://gw.alicdn.com/imgextra/i1/O1CN01Hs1MVu1IDvM07YrGh_!!6000000000860-2-tps-293-143.png,5.5361328125,0.9895644283121597,0.07119505494505494,1.24746192893401,12.6640625,4.7666015625,1.0,90,1.0,1.318656983879065,5.0
reduced_O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/2201484016118/O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,9.21484375,2.9021956087824354,0.3324175824175824,1.0,3.05859375,9.21484375,1.0,100,0.9279956536059031,1.3324175824175823,5.0
reduced_O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i1/6000000003260/O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.115234375,3.8842386464826357,0.3324175824175824,1.0,3.755859375,11.115234375,1.0,100,0.9122694326801363,1.3324175824175823,5.0
reduced_O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i4/6000000002057/O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.126953125,3.8842386464826357,0.3324175824175824,1.0,3.86328125,11.126953125,1.0,100,0.920628887440521,1.3324175824175823,5.0
reduced_O1CN011Zmam2A2XpD5V7Y_!!6000000003237-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN011Zmam2A2XpD5V7Y_!!6000000003237-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/6000000003237/O1CN011Zmam2A2XpD5V7Y_!!6000000003237-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.603515625,3.8842386464826357,0.3324175824175824,1.0,4.666015625,11.603515625,1.0,100,0.9217047495936053,1.3324175824175823,10.0
reduced_O1CN01IgZdJn1RDJKqgF066_!!6000000002077-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01IgZdJn1RDJKqgF066_!!6000000002077-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i4/6000000002077/O1CN01IgZdJn1RDJKqgF066_!!6000000002077-0-picassoopen.jpg_220x10000Q75.jpg_.webp,13.3671875,5.326007326007327,0.3324175824175824,1.0,5.08203125,13.3671875,1.0,100,0.9226984009581055,1.3324175824175823,5.0
reduced_O1CN01P7xod21s8iznWSgtW_!!6000000005722-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01P7xod21s8iznWSgtW_!!6000000005722-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/6000000005722/O1CN01P7xod21s8iznWSgtW_!!6000000005722-0-picassoopen.jpg_220x10000Q75.jpg_.webp,10.896484375,5.326007326007327,0.3324175824175824,1.0,3.71875,10.896484375,1.0,100,0.9007081366072304,1.3324175824175823,5.0
reduced_O1CN012r8RmK1sWXakCnN9p_!!6000000005774-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN012r8RmK1sWXakCnN9p_!!6000000005774-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i3/6000000005774/O1CN012r8RmK1sWXakCnN9p_!!6000000005774-0-picassoopen.jpg_220x10000Q75.jpg_.webp,7.296875,5.326007326007327,0.3324175824175824,1.0,2.51953125,7.296875,1.0,100,0.9353851368237388,1.3324175824175823,5.0
reduced_O1CN01mJv81r1wu8SVIOwq3_!!6000000006367-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01mJv81r1wu8SVIOwq3_!!6000000006367-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/6000000006367/O1CN01mJv81r1wu8SVIOwq3_!!6000000006367-0-picassoopen.jpg_220x10000Q75.jpg_.webp,8.873046875,5.326007326007327,0.3324175824175824,1.0,2.93359375,8.873046875,1.0,100,0.9167172510919757,1.3324175824175823,5.0
reduced_O1CN011mwZFx1MHp9zGxMpN_!!2549841410-0-sm.jpg_220x10000Q75.jpg_.webp,O1CN011mwZFx1MHp9zGxMpN_!!2549841410-0-sm.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i1/2549841410/O1CN011mwZFx1MHp9zGxMpN_!!2549841410-0-sm.jpg_220x10000Q75.jpg_.webp,5.369140625,2.9021956087824354,0.3324175824175824,1.0,2.017578125,5.369140625,1.0,100,0.9457284100461346,1.3324175824175823,5.0
reduced_O1CN01J89uXL1OhafwvtvVz_!!6000000001737-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01J89uXL1OhafwvtvVz_!!6000000001737-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i4/6000000001737/O1CN01J89uXL1OhafwvtvVz_!!6000000001737-0-picassoopen.jpg_220x10000Q75.jpg_.webp,7.646484375,3.8842386464826357,0.3324175824175824,1.0,2.580078125,7.646484375,1.0,100,0.9186648041821339,1.3324175824175823,5.0
reduced_O1CN0188HfFc1o9P7eSmJSW_!!2200657715182-0-sm.jpg_220x10000Q75.jpg_.webp,O1CN0188HfFc1o9P7eSmJSW_!!2200657715182-0-sm.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/2200657715182/O1CN0188HfFc1o9P7eSmJSW_!!2200657715182-0-sm.jpg_220x10000Q75.jpg_.webp,6.240234375,2.3980208905992306,0.3324175824175824,1.0,2.21484375,6.240234375,1.0,100,0.9320094232059049,1.3324175824175823,5.0
reduced_O1CN01DhmylE1qXL24xQCFW_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,O1CN01DhmylE1qXL24xQCFW_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/2181865505/O1CN01DhmylE1qXL24xQCFW_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,2.36328125,2.3980208905992306,0.3324175824175824,1.0,1.0234375,2.36328125,1.0,100,0.9783725970830901,1.3324175824175823,5.0
reduced_O1CN01zoxuaO1rbI5B6bZ8w_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,O1CN01zoxuaO1rbI5B6bZ8w_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i1/2201054585649/O1CN01zoxuaO1rbI5B6bZ8w_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,1.560546875,2.3980208905992306,0.3324175824175824,1.0,0.65625,1.560546875,1.0,100,0.9657993725330584,1.3324175824175823,5.0
reduced_TB1NQiE0YY1gK0jSZTEXXXDQVXa-400-400.jpg_220x10000Q75.jpg_.webp,TB1NQiE0YY1gK0jSZTEXXXDQVXa-400-400.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1NQiE0YY1gK0jSZTEXXXDQVXa-400-400.jpg_220x10000Q75.jpg_.webp,3.951171875,2.9021956087824354,0.3324175824175824,1.0,1.244140625,3.951171875,1.0,100,0.9473744732950459,1.3324175824175823,5.0
reduced_O1CN014AxN4C1Z7pWRr4wzb_!!6000000003148-0-tps-356-141.jpg_360x10000Q75.jpg,O1CN014AxN4C1Z7pWRr4wzb_!!6000000003148-0-tps-356-141.jpg_360x10000Q75.jpg,https://gw.alicdn.com/imgextra/i1/O1CN014AxN4C1Z7pWRr4wzb_!!6000000003148-0-tps-356-141.jpg_360x10000Q75.jpg,13.994140625,12.462857142857143,0.34475274725274724,1.0,7.13671875,13.994140625,1.0,100,0.9173451953448881,1.3447527472527472,30.0
reduced_TB1jq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1jq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1jq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,10.80078125,8.388461538461538,0.3516483516483517,1.0,3.638671875,10.80078125,1.0,100,0.9167567328910767,1.3516483516483517,5.0
reduced_TB1Cq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1Cq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1Cq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,12.33984375,8.388461538461538,0.3516483516483517,1.0,3.892578125,12.33984375,1.0,100,0.9009265957230255,1.3516483516483517,5.0
reduced_TB1xwW3eiLaK1RjSZFxXXamPFXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1xwW3eiLaK1RjSZFxXXamPFXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1xwW3eiLaK1RjSZFxXXamPFXa-502-380.jpg_290x10000Q75.jpg_.webp,12.1640625,8.388461538461538,0.3516483516483517,1.0,4.234375,12.1640625,1.0,100,0.9209250658784407,1.3516483516483517,5.0
reduced_TB1IQPsEFzqK1RjSZFoXXbfcXXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1IQPsEFzqK1RjSZFoXXbfcXXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1IQPsEFzqK1RjSZFoXXbfcXXa-502-380.jpg_290x10000Q75.jpg_.webp,9.154296875,8.388461538461538,0.3516483516483517,1.0,2.9453125,9.154296875,1.0,100,0.9087395115321026,1.3516483516483517,5.0
reduced_TB1x7TyENYaK1RjSZFnXXa80pXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1x7TyENYaK1RjSZFnXXa80pXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1x7TyENYaK1RjSZFnXXa80pXa-502-380.jpg_290x10000Q75.jpg_.webp,12.357421875,8.388461538461538,0.3516483516483517,1.0,4.728515625,12.357421875,1.0,100,0.9141728439983813,1.3516483516483517,10.0
reduced_TB1sQTyENYaK1RjSZFnXXa80pXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1sQTyENYaK1RjSZFnXXa80pXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1sQTyENYaK1RjSZFnXXa80pXa-502-380.jpg_290x10000Q75.jpg_.webp,10.3359375,8.388461538461538,0.3516483516483517,1.0,3.59765625,10.3359375,1.0,100,0.9253113816604475,1.3516483516483517,5.0
reduced_TB1NASFejDpK1RjSZFrXXa78VXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1NASFejDpK1RjSZFrXXa78VXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1NASFejDpK1RjSZFrXXa78VXa-502-380.jpg_290x10000Q75.jpg_.webp,11.1484375,8.388461538461538,0.3516483516483517,1.0,4.669921875,11.1484375,1.0,100,0.909150240759617,1.3516483516483517,20.0
reduced_TB1ztBlaMMPMeJjy1XbXXcwxVXa-200-60.png,TB1ztBlaMMPMeJjy1XbXXcwxVXa-200-60.png,https://img.alicdn.com/tfs/TB1ztBlaMMPMeJjy1XbXXcwxVXa-200-60.png,5.5166015625,27.433962264150942,0.020604395604395604,1.4308588064046577,9.1435546875,4.845703125,1.0,90,1.0,1.4514632020090532,5.0
reduced_TB1tPdRkNvbeK8jSZPfXXariXXa-468-602.jpg_230x10000Q75.jpg_.webp,TB1tPdRkNvbeK8jSZPfXXariXXa-468-602.jpg_230x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1tPdRkNvbeK8jSZPfXXariXXa-468-602.jpg_230x10000Q75.jpg_.webp,7.88671875,2.3967032967032966,0.46046703296703295,1.0,2.37109375,7.88671875,1.0,100,0.9106730114089696,1.460467032967033,5.0
reduced_TB1Rimq1lr0gK0jSZFnSuvRRXXa.jpg_230x10000Q75.jpg_.webp,TB1Rimq1lr0gK0jSZFnSuvRRXXa.jpg_230x10000Q75.jpg_.webp,https://gw.alicdn.com/tps/i4/TB1Rimq1lr0gK0jSZFnSuvRRXXa.jpg_230x10000Q75.jpg_.webp,6.607421875,2.9021956087824354,0.46046703296703295,1.0,2.13671875,6.607421875,1.0,100,0.9346641387969791,1.460467032967033,5.0
reduced_TB1t5ObaBxRMKJjy0FdXXaifFXa-200-60.png,TB1t5ObaBxRMKJjy0FdXXaifFXa-200-60.png,https://img.alicdn.com/tfs/TB1t5ObaBxRMKJjy0FdXXaifFXa-200-60.png,5.8173828125,27.433962264150942,0.020604395604395604,1.4781954887218043,9.5908203125,5.16796875,1.0,90,1.0,1.4987998843261998,5.0
reduced_O1CN01ku1QvU1FdclsstCyR_!!6000000000510-0-tps-520-280.jpg_570x10000Q75.jpg_.webp,O1CN01ku1QvU1FdclsstCyR_!!6000000000510-0-tps-520-280.jpg_570x10000Q75.jpg_.webp,https://gw.alicdn.com/imgextra/i3/O1CN01ku1QvU1FdclsstCyR_!!6000000000510-0-tps-520-280.jpg_570x10000Q75.jpg_.webp,44.578125,21.07246376811594,1.0,1.0,33.39453125,44.578125,1.0,100,0.9641111074988193,2.0,50.0
TB1lUZLJVXXXXXtXFXXSutbFXXX.jpg,TB1lUZLJVXXXXXtXFXXSutbFXXX.jpg,https://img.alicdn.com/simba/img/TB1lUZLJVXXXXXtXFXXSutbFXXX.jpg,41.2294921875,21.07246376811594,1.0,1.0,41.2294921875,41.2294921875,1.0,100,1.0,2.0,
O1CN01fS1G4M1bFHA2rvIwi_!!6000000003435-0-ald.jpg_570x10000Q75.jpg_.webp,O1CN01fS1G4M1bFHA2rvIwi_!!6000000003435-0-ald.jpg_570x10000Q75.jpg_.webp,https://gw.alicdn.com/tps/i4/i3/6000000003435/O1CN01fS1G4M1bFHA2rvIwi_!!6000000003435-0-ald.jpg_570x10000Q75.jpg_.webp,17.140625,21.07246376811594,1.0,1.0,17.140625,17.140625,1.0,100,1.0,2.0,
O1CN01y1sR2j1iIfUL4VsKq_!!6000000004390-2-tps-202-40.png,O1CN01y1sR2j1iIfUL4VsKq_!!6000000004390-2-tps-202-40.png,https://img.alicdn.com/imgextra/i1/O1CN01y1sR2j1iIfUL4VsKq_!!6000000004390-2-tps-202-40.png,13.1650390625,1.0,0.05549450549450549,2.3743961352657004,13.1650390625,12.7607421875,1.0,90,1.0,2.4298906407602057,
O1CN01HkVitO1V8VhPKSICa_!!6000000002608-2-tps-174-40.png,O1CN01HkVitO1V8VhPKSICa_!!6000000002608-2-tps-174-40.png,https://img.alicdn.com/imgextra/i3/O1CN01HkVitO1V8VhPKSICa_!!6000000002608-2-tps-174-40.png,9.3818359375,1.010658016682113,0.0478021978021978,2.4034229828850853,9.3818359375,8.982421875,1.0,90,1.0,2.451225180687283,
O1CN01WRHxRD1HlWox5UNuN_!!6000000000798-2-tps-99-40.png,O1CN01WRHxRD1HlWox5UNuN_!!6000000000798-2-tps-99-40.png,https://img.alicdn.com/imgextra/i3/O1CN01WRHxRD1HlWox5UNuN_!!6000000000798-2-tps-99-40.png,3.681640625,1.0,0.0271978021978022,19.659999999999997,3.681640625,3.6328125,1.0,90,1.0,19.687197802197797,
O1CN01Y8A3Cu1flZaFyZZft_!!6000000004047-0-alimamazszw.jpg,O1CN01Y8A3Cu1flZaFyZZft_!!6000000004047-0-alimamazszw.jpg,https://img.alicdn.com/imgextra/i4/6000000004047/O1CN01Y8A3Cu1flZaFyZZft_!!6000000004047-0-alimamazszw.jpg,70.8193359375,21.07246376811594,1.0,1372820.3790727041,70.8193359375,13.470703125,0.9179869005482761,20,1.0,1372821.3790727041,
O1CN01ga1mwD2IKL2CVvDC1_!!700459267.png_290x10000.jpg_.webp,O1CN01ga1mwD2IKL2CVvDC1_!!700459267.png_290x10000.jpg_.webp,https://gw.alicdn.com/imgextra/i3/700459267/O1CN01ga1mwD2IKL2CVvDC1_!!700459267.png_290x10000.jpg_.webp,56.37890625,8.388461538461538,0.3516483516483517,1409852.2378178795,56.37890625,7.693359375,0.9284976872185426,0,1.0,1409852.5894662312,
O1CN01Am8Sra21Zaice06ax_!!6000000006999-2-tps-1130-500.png_570x10000.jpg_.webp,O1CN01Am8Sra21Zaice06ax_!!6000000006999-2-tps-1130-500.png_570x10000.jpg_.webp,https://gw.alicdn.com/imgextra/i3/O1CN01Am8Sra21Zaice06ax_!!6000000006999-2-tps-1130-500.png_570x10000.jpg_.webp,33.40234375,21.07246376811594,1.0,1618681.3298100177,33.40234375,3.96875,0.9503692214847671,0,1.0,1618682.3298100177,
O1CN01rEcd4h1qgxMff8cYu_!!6000000005526-2-yinhe.png_220x10000.jpg_.webp,O1CN01rEcd4h1qgxMff8cYu_!!6000000005526-2-yinhe.png_220x10000.jpg_.webp,https://gw.alicdn.com/bao/uploaded/bao/upload/O1CN01rEcd4h1qgxMff8cYu_!!6000000005526-2-yinhe.png_220x10000.jpg_.webp,26.998046875,1.3626991565135895,0.3324175824175824,3885524.6994980806,26.998046875,8.576171875,0.925435871890812,20,1.0,3885525.0319156633,
